Year,pos,player,WOE,WAR
2001,QB, Tommy Maddox,-0.6456456456456456,-0.1914267208384855
2001,QB, Tee Martin,-0.7437437437437437,-0.2895248189365836
2001,QB, Danny Wuerffel,-0.1806806806806807,-0.06712594947889065
2001,QB, Jamie Martin,-0.9804804804804805,-0.4127068244715304
2001,QB, Kent Graham,-0.23023023023023023,-0.0031207678266501615
2001,QB, Todd Bouman,-0.08058058058058058,0.48719307542836954
2001,QB, Jeff Blake,-0.1856856856856857,-0.07213095448389566
2001,QB, Tory Woodbury,-1.7252252252252251,-0.7032326444091148
2001,QB, Ryan Leaf,-0.48848848848848847,-0.03426956368132833
2001,QB, Mike McMahon,-0.8158158158158159,0.09262203379850442
2001,QB, Matt Lytle,-0.43793793793793795,-0.09727374433256786
2001,QB, Rodney Peete,-0.18468468468468469,-0.07112995348289465
2001,QB, Bobby Hoying,-1.4344344344344344,-0.5259965848201141
2001,QB, Akili Smith,-0.7157157157157157,-0.26149679090855554
2001,QB, Tim Rattay,-0.3883883883883884,-0.16127892598480834
2001,QB, Jarious Jackson,-0.13963963963963963,-0.026084908437849594
2001,QB, Spergon Wynn,-0.10710710710710711,0.12000235529647296
2001,QB, Romaro Miller,-0.1896896896896897,-0.07613495848789965
2001,RB, Ahman Green,1.2077077077077076,2.5815815815815815
2001,RB, Edgerrin James,-0.2602602602602603,0.8388388388388387
2001,RB, Lamar Smith,-0.13863863863863865,1.2352352352352352
2001,RB, LaDainian Tomlinson,0.8888888888888888,2.354354354354354
2001,RB, Marshall Faulk,2.451951951951952,3.6426426426426426
2001,RB, Corey Dillon,0.6411411411411412,2.015015015015015
2001,RB, Curtis Martin,1.1956956956956957,2.5695695695695697
2001,RB, Cecil Martin,-1.5890890890890892,-0.21521521521521536
2001,RB, Ricky Williams,0.8723723723723724,2.2462462462462462
2001,RB, Richie Anderson,-1.3568568568568569,0.017017017017016967
2001,RB, Jamal Anderson,-1.467967967967968,-0.0940940940940942
2001,RB, Tony Richardson,-0.6941941941941941,0.4964964964964963
2001,RB, Ricky Watters,-0.25875875875875876,0.3823823823823823
2001,RB, Duce Staley,0.4189189189189189,1.6096096096096093
2001,RB, James Stewart,-0.043043043043043044,0.8728728728728727
